tags,notes,title,guid,imageURL,articleDate,trailerLink,rating
"Netflix, CG Animation, Animation, Adventure, Family, Musical, Sandra Oh, Margaret Cho, John Cho, Ken Jeong, Cathy Ang",,Over the Moon: Feature Trailer,http://www.traileraddict.com/over-the-moon-2020/feature-trailer,http://cdn.traileraddict.com/vidog/netflix/over-the-moon-poster/1.jpg,2020-09-23T01:24:28.000Z,http://www.traileraddict.com/over-the-moon-2020/feature-trailer,
"Netflix, Foreign / Foreign Language, Thriller, Horror",,Cadaver: Trailer,http://www.traileraddict.com/cadaver-2020/trailer,http://cdn.traileraddict.com/images/errors/noposter.jpg,2020-09-23T01:35:01.000Z,http://www.traileraddict.com/cadaver-2020/trailer,
"Action, Adventure, Fantasy, Nat Wolff",,Mortal: Theatrical Trailer,http://www.traileraddict.com/mortal-2020/theatrical-trailer,http://cdn.traileraddict.com/vidog/unknown/mortal-poster-2020/1.jpg,2020-09-23T17:40:42.000Z,http://www.traileraddict.com/mortal-2020/theatrical-trailer,
"Studio Canal, Drama, Mads Mikkelsen, Thomas Bo Larsen",,Another Round: Trailer,http://www.traileraddict.com/another-round-druk/trailer,http://cdn.traileraddict.com/vidog/studiocanal/druk-poster/1.jpg,2020-09-23T17:58:54.000Z,http://www.traileraddict.com/another-round-druk/trailer,
"Hulu, Horror, Mystery, Book, Britt Robertson, Anna Friel, Rafi Gavron, Yul Vazquez",,Books of Blood: Trailer,http://www.traileraddict.com/books-of-blood-2020/trailer,http://cdn.traileraddict.com/vidog/hulu/books-of-blood-poster/1.jpg,2020-09-23T17:31:50.000Z,http://www.traileraddict.com/books-of-blood-2020/trailer,
"Amazon Studios, Drama, Riz Ahmed, Olivia Cooke, Mathieu Amalric",,Sound of Metal: Trailer,http://www.traileraddict.com/sound-of-metal-2020/trailer,http://cdn.traileraddict.com/vidog/amazon-studios/sound-of-metal-poster/1.jpg,2020-09-28T21:20:18.000Z,http://www.traileraddict.com/sound-of-metal-2020/trailer,
"Netflix, Comedy, Family, Fantasy, Tamara Smart, Oona Laurence, Tom Felton",,A Babysitter's Guide to Monster Hunting: Trailer,http://www.traileraddict.com/babysitters-guide-to-monster-hunting/trailer,http://cdn.traileraddict.com/images/errors/noposter.jpg,2020-09-28T19:14:26.000Z,http://www.traileraddict.com/babysitters-guide-to-monster-hunting/trailer,
"Netflix, Comedy, Horror, Supernatural",,Vampires vs. the Bronx: Trailer,http://www.traileraddict.com/vampires-vs-the-bronx/trailer,http://cdn.traileraddict.com/vidog/netflix/vampires-vs-the-bronx-poster/1.jpg,2020-09-29T05:25:25.000Z,http://www.traileraddict.com/vampires-vs-the-bronx/trailer,
"Action, Red Band",,Action U.S.A.: Trailer,http://www.traileraddict.com/action-usa/trailer,http://cdn.traileraddict.com/images/errors/noposter.jpg,2020-09-29T06:10:14.000Z,http://www.traileraddict.com/action-usa/trailer,
"Netflix, Comedy, Romance, Emma Roberts, Luke Bracey, Frances Fisher, Kristin Chenoweth, Alex Moffat",,Holidate: Trailer,http://www.traileraddict.com/holidate-2020/trailer,http://cdn.traileraddict.com/images/errors/noposter.jpg,2020-09-29T18:52:51.000Z,http://www.traileraddict.com/holidate-2020/trailer,
"Sony Pictures, Fantasy, Supernatural, Horror, Cailee Spaeny, Gideon Adlon",,The Craft: Legacy: Trailer,http://www.traileraddict.com/the-craft-legacy/trailer,http://cdn.traileraddict.com/images/errors/noposter.jpg,2020-09-29T19:03:02.000Z,http://www.traileraddict.com/the-craft-legacy/trailer,
"Lionsgate, Fantasy, Action, Jason Flemyng, Helen Yao, Jackie Chan, Arnold Schwarzenegger, Charles Dance, Rutger Hauer",,Iron Mask: Trailer,http://www.traileraddict.com/iron-mask-2020/trailer,http://cdn.traileraddict.com/images/errors/noposter.jpg,2020-09-30T19:44:21.000Z,http://www.traileraddict.com/iron-mask-2020/trailer,
"Saban Films, Action, Crime, Patrick Schwarzenegger, Michael Shannon, Alex Pettyfer, Lesley Ann Warren",,Echo Boomers: Trailer,http://www.traileraddict.com/echo-boomers/trailer,http://cdn.traileraddict.com/vidog/saban-films/echo-boomers-poster/1.jpg,2020-09-30T19:59:38.000Z,http://www.traileraddict.com/echo-boomers/trailer,
"Netflix, Horror, Thriller, Sope Dirisu, Wunmi Mosaku",,His House: Trailer,http://www.traileraddict.com/his-house-2020/trailer,http://cdn.traileraddict.com/images/errors/noposter.jpg,2020-09-30T19:50:53.000Z,http://www.traileraddict.com/his-house-2020/trailer,
"Paramount Pictures, Horror, Omari Hardwick, Loretta Devine",,Spell: Trailer,http://www.traileraddict.com/spell-2020/trailer,http://cdn.traileraddict.com/vidog/paramount-pictures/spell-2020-poster/1.jpg,2020-10-02T19:21:58.000Z,http://www.traileraddict.com/spell-2020/trailer,
"Warner Bros. Pictures, Adventure, Comedy, Family, Book, Anne Hathaway, Octavia Spencer, Stanley Tucci, Kristin Chenoweth, Chris Rock, Jahzir Bruno",,The Witches: Trailer,http://www.traileraddict.com/the-witches-2020/trailer,http://cdn.traileraddict.com/vidog/warner-bros-pictures/the-witches-2020-poster/1.jpg,2020-10-02T22:12:49.000Z,http://www.traileraddict.com/the-witches-2020/trailer,
"Hulu, Comedy, Horror, Vanessa Williams, Jay Pharoah, Lena Waithe, Blair Underwood",,Bad Hair: Trailer,http://www.traileraddict.com/bad-hair-2020/trailer,http://cdn.traileraddict.com/images/errors/noposter.jpg,2020-10-02T19:46:58.000Z,http://www.traileraddict.com/bad-hair-2020/trailer,
"20th Century Fox, Comedy, Action, Fantasy, Ryan Reynolds, Taika Waititi, Jodie Comer, Joe Keery, Lil Rel Howery",,Free Guy: Theatrical Trailer,http://www.traileraddict.com/free-guy/theatrical-trailer,http://cdn.traileraddict.com/vidog/20th-century-fox/free-guy-poster/1.jpg,2020-10-05T20:01:34.000Z,http://www.traileraddict.com/free-guy/theatrical-trailer,
"Universal Pictures, Action, Thriller, Adventure, Jessica Chastain, Lupita Nyong'o, Penélope Cruz, Diane Kruger, Sebastian Stan, Édgar Ramírez, Fan Bingbing",,The 355: Trailer,http://www.traileraddict.com/the-355/trailer,http://cdn.traileraddict.com/vidog/universal-pictures/the-355-poster/1.jpg,2020-10-06T18:30:16.000Z,http://www.traileraddict.com/the-355/trailer,
"Warner Bros. Pictures, Comicbook, Action, Thriller, Natalie Portman, Hugo Weaving, Stephen Rea, Stephen Fry, John Hurt, Roger Allam",,V for Vendetta: 4k Ultra HD Trailer,http://www.traileraddict.com/v-for-vendetta/4k-ultra-hd-trailer,http://cdn.traileraddict.com/vidog/warner-bros-pictures/vforvendetta/1.jpg,2020-10-06T18:39:13.000Z,http://www.traileraddict.com/v-for-vendetta/4k-ultra-hd-trailer,
"Saban Films, Comedy, Action, Mel Gibson, Walton Goggins, Marianne Jean-Baptiste",,Fatman: Trailer,http://www.traileraddict.com/fatman-2020/trailer,http://cdn.traileraddict.com/images/errors/noposter.jpg,2020-10-07T23:34:34.000Z,http://www.traileraddict.com/fatman-2020/trailer,
"Saban Films, Comedy, Josh Duhamel, Dax Shepard, Nick Swardson, Kevin Dillon, Dan Bakkedahl, James Roday Rodriguez, Olivia Munn",,Buddy Games: Trailer,http://www.traileraddict.com/buddy-games-2020/trailer,http://cdn.traileraddict.com/images/errors/noposter.jpg,2020-10-07T18:15:53.000Z,http://www.traileraddict.com/buddy-games-2020/trailer,
"RLJ Entertainment, Action, Adventure, Joe Manganiello, Skylan Brooks, Zolee Griggs, Amy Seimetz",,Archenemy: Trailer,http://www.traileraddict.com/archenemy-2020/trailer,http://cdn.traileraddict.com/vidog/rlj-entertainment/archenemy-2020-poster/1.jpg,2020-10-07T18:07:56.000Z,http://www.traileraddict.com/archenemy-2020/trailer,
